         124761 function calls (123510 primitive calls) in 1.649 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 __init__.py:549(_initialize_xml_detector)
      151    0.003    0.000    0.003    0.000 __init__.py:558(popTag)
        1    0.000    0.000    0.000    0.000 __init__.py:565(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:569(_root_tag_encountered)      152    0.004    0.000    0.004    0.000 __init__.py:572(pushTag)
       17    0.000    0.000    0.000    0.000 __init__.py:579(__missing__)
      305    0.032    0.000    0.092    0.000 __init__.py:586(endData)
        1    0.000    0.000    0.000    0.000 __init__.py:61(lookup)
      289    0.013    0.000    0.041    0.000 __init__.py:620(object_was_parsed)    
        1    0.000    0.000    0.000    0.000 __init__.py:640(update)
      149    0.021    0.000    0.021    0.000 __init__.py:648(_linkage_fixer)       
      151    0.010    0.000    0.014    0.000 __init__.py:688(_popToTag)
        2    0.000    0.000    0.001    0.000 __init__.py:71(search_function)       
      151    0.013    0.000    0.100    0.001 __init__.py:722(handle_starttag)      
      151    0.002    0.000    0.061    0.000 __init__.py:763(handle_endtag)        
      297    0.001    0.000    0.001    0.000 __init__.py:773(handle_data)
        1    0.000    0.000    0.000    0.000 __init__.py:89(find_spec)
        1    0.000    0.000    0.000    0.000 __init__.py:96(<lambda>)
        1    0.000    0.000    0.000    0.000 _collections.py:100(__setitem__)      
        2    0.000    0.000    0.000    0.000 _collections.py:141(clear)
        1    0.000    0.000    0.001    0.001 _collections.py:240(__init__)
       11    0.000    0.000    0.000    0.000 _collections.py:257(__getitem__)      
        7    0.000    0.000    0.000    0.000 _collections.py:289(__iter__)
        6    0.000    0.000    0.000    0.000 _collections.py:300(add)
        1    0.000    0.000    0.001    0.001 _collections.py:335(extend)
        2    0.000    0.000    0.000    0.000 _collections.py:82(__init__)
        1    0.000    0.000    0.000    0.000 _collections.py:93(__getitem__)       
        1    0.000    0.000    0.000    0.000 _collections_abc.py:262(__subclasshook__)
       42    0.000    0.000    0.000    0.000 _collections_abc.py:409(__subclasshook__)
        3    0.000    0.000    0.000    0.000 _collections_abc.py:561(__subclasshook__)
        4    0.000    0.000    0.000    0.000 _collections_abc.py:78(_check_methods)       12    0.000    0.000    0.000    0.000 _collections_abc.py:816(get)
        5    0.000    0.000    0.000    0.000 _collections_abc.py:823(__contains__) 
        8    0.000    0.000    0.000    0.000 _collections_abc.py:835(items)        
        8    0.000    0.000    0.000    0.000 _collections_abc.py:857(__init__)     
        1    0.000    0.000    0.000    0.000 _collections_abc.py:860(__len__)      
      264    0.001    0.000    0.003    0.000 _collections_abc.py:904(__iter__)     
        8    0.000    0.000    0.001    0.000 _collections_abc.py:986(update)       
      151    0.015    0.000    0.118    0.001 _htmlparser.py:105(handle_starttag)   
      151    0.002    0.000    0.063    0.000 _htmlparser.py:160(handle_endtag)     
      296    0.002    0.000    0.003    0.000 _htmlparser.py:178(handle_data)       
        4    0.000    0.000    0.001    0.000 _htmlparser.py:182(handle_charref)    
        1    0.000    0.000    0.000    0.000 _htmlparser.py:222(handle_entityref)  
        1    0.000    0.000    0.000    0.000 _htmlparser.py:250(handle_decl)       
        1    0.000    0.000    0.000    0.000 _htmlparser.py:298(__init__)
        2    0.000    0.000    0.000    0.000 _htmlparser.py:323(prepare_markup)    
        1    0.000    0.000    0.292    0.292 _htmlparser.py:372(feed)
        1    0.000    0.000    0.000    0.000 _htmlparser.py:46(__init__)
        5    0.000    0.000    0.000    0.000 _internal_utils.py:25(to_native_string)
        1    0.000    0.000    0.000    0.000 _internal_utils.py:38(unicode_is_ascii)
        1    0.000    0.000    0.000    0.000 _markupbase.py:32(reset)
      151    0.001    0.000    0.001    0.000 _markupbase.py:36(getpos)
      590    0.015    0.000    0.017    0.000 _markupbase.py:44(updatepos)
       12    0.000    0.000    0.000    0.000 _policybase.py:281(_sanitize_header)  
        6    0.000    0.000    0.000    0.000 _policybase.py:293(header_source_parse)
       12    0.000    0.000    0.000    0.000 _policybase.py:311(header_fetch_parse)        3    0.000    0.000    0.000    0.000 _request_methods.py:51(__init__)      
      175    0.001    0.000    0.002    0.000 abc.py:117(__instancecheck__)
    47/11    0.000    0.000    0.000    0.000 abc.py:121(__subclasscheck__)
        2    0.000    0.000    0.000    0.000 adapters.py:135(__init__)
        2    0.000    0.000    0.000    0.000 adapters.py:173(init_poolmanager)     
        1    0.000    0.000    0.000    0.000 adapters.py:237(cert_verify)
        1    0.000    0.000    0.001    0.001 adapters.py:294(build_response)       
        1    0.000    0.000    0.001    0.001 adapters.py:331(get_connection)       
        2    0.000    0.000    0.000    0.000 adapters.py:360(close)
        1    0.000    0.000    0.000    0.000 adapters.py:370(request_url)
        1    0.000    0.000    0.000    0.000 adapters.py:399(add_headers)
        1    0.000    0.000    0.979    0.979 adapters.py:434(send)
        2    0.000    0.000    0.000    0.000 adapters.py:73(__init__)
        1    0.000    0.000    1.002    1.002 api.py:14(request)
        1    0.000    0.000    1.002    1.002 api.py:62(get)
        6    0.000    0.000    0.000    0.000 client.py:1007(_output)
        1    0.000    0.000    0.056    0.056 client.py:1028(_send_output)
        1    0.000    0.000    0.000    0.000 client.py:1082(putrequest)
        1    0.000    0.000    0.000    0.000 client.py:1209(_encode_request)       
        1    0.000    0.000    0.000    0.000 client.py:1213(_validate_method)      
        1    0.000    0.000    0.000    0.000 client.py:1222(_validate_path)        
        1    0.000    0.000    0.000    0.000 client.py:1230(_validate_host)        
        5    0.000    0.000    0.000    0.000 client.py:1238(putheader)
        1    0.000    0.000    0.056    0.056 client.py:1266(endheaders)
        1    0.000    0.000    0.917    0.917 client.py:1330(getresponse)
        1    0.000    0.000    0.000    0.000 client.py:206(_read_headers)
        1    0.000    0.000    0.002    0.002 client.py:224(parse_headers)
        1    0.000    0.000    0.000    0.000 client.py:248(__init__)
        1    0.000    0.000    0.914    0.914 client.py:278(_read_status)
        1    0.000    0.000    0.916    0.916 client.py:311(begin)
        1    0.000    0.000    0.000    0.000 client.py:383(_check_close)
        1    0.000    0.000    0.000    0.000 client.py:412(_close_conn)
        2    0.000    0.000    0.000    0.000 client.py:417(close)
        1    0.000    0.000    0.000    0.000 client.py:429(flush)
        7    0.000    0.000    0.000    0.000 client.py:440(isclosed)
        3    0.000    0.000    0.012    0.004 client.py:450(read)
        1    0.000    0.000    0.000    0.000 client.py:837(__init__)
        1    0.000    0.000    0.000    0.000 client.py:883(_get_hostport)
        1    0.000    0.000    0.000    0.000 client.py:953(close)
        1    0.000    0.000    0.056    0.056 client.py:967(send)
        1    0.000    0.000    0.000    0.000 codecs.py:186(__init__)
        1    0.000    0.000    0.000    0.000 codecs.py:260(__init__)
        1    0.000    0.000    0.000    0.000 codecs.py:309(__init__)
        2    0.000    0.000    0.000    0.000 codecs.py:319(decode)
        2    0.000    0.000    0.000    0.000 codecs.py:94(__new__)
        1    0.000    0.000    0.000    0.000 connection.py:103(allowed_gai_family) 
        1    0.000    0.000    0.000    0.000 connection.py:130(__init__)
        2    0.000    0.000    0.000    0.000 connection.py:165(host)
        1    0.000    0.000    0.000    0.000 connection.py:184(host)
        1    0.000    0.000    0.056    0.056 connection.py:194(_new_conn)
        1    0.000    0.000    0.056    0.056 connection.py:235(connect)
        1    0.000    0.000    0.000    0.000 connection.py:249(is_closed)
        1    0.000    0.000    0.000    0.000 connection.py:263(close)
        1    0.000    0.000    0.056    0.056 connection.py:27(create_connection)   
        1    0.000    0.000    0.000    0.000 connection.py:278(putrequest)
        5    0.000    0.000    0.000    0.000 connection.py:298(putheader)
       10    0.000    0.000    0.000    0.000 connection.py:300(<genexpr>)
        1    0.000    0.000    0.056    0.056 connection.py:312(request)
        5    0.000    0.000    0.000    0.000 connection.py:347(<genexpr>)
        1    0.000    0.000    0.919    0.919 connection.py:428(getresponse)        
        1    0.000    0.000    0.000    0.000 connection.py:93(_set_socket_options) 
        1    0.000    0.000    0.000    0.000 connectionpool.py:1145(_normalize_host)
        1    0.000    0.000    0.001    0.001 connectionpool.py:1170(_close_pool_connections)
        1    0.000    0.000    0.001    0.001 connectionpool.py:178(__init__)       
        1    0.000    0.000    0.000    0.000 connectionpool.py:239(_new_conn)      
        1    0.000    0.000    0.000    0.000 connectionpool.py:259(_get_conn)      
        1    0.000    0.000    0.000    0.000 connectionpool.py:297(_put_conn)      
        1    0.000    0.000    0.000    0.000 connectionpool.py:340(_validate_conn) 
        2    0.000    0.000    0.000    0.000 connectionpool.py:349(_get_timeout)   
        1    0.000    0.000    0.975    0.975 connectionpool.py:380(_make_request)  
        1    0.000    0.000    0.976    0.976 connectionpool.py:595(urlopen)        
        1    0.000    0.000    0.000    0.000 connectionpool.py:82(__init__)        
        7    0.000    0.000    0.000    0.000 contextlib.py:102(__init__)
        7    0.000    0.000    0.000    0.000 contextlib.py:130(__enter__)
        7    0.000    0.000    0.000    0.000 contextlib.py:139(__exit__)
        7    0.000    0.000    0.000    0.000 contextlib.py:279(helper)
        6    0.000    0.000    0.000    0.000 cookiejar.py:1227(vals_sorted_by_key) 
        6    0.000    0.000    0.000    0.000 cookiejar.py:1231(deepvalues)
        4    0.000    0.000    0.000    0.000 cookiejar.py:1266(__init__)
        1    0.000    0.000    0.000    0.000 cookiejar.py:1295(_cookies_for_request)
        1    0.000    0.000    0.000    0.000 cookiejar.py:1302(_cookie_attrs)      
        1    0.000    0.000    0.000    0.000 cookiejar.py:1361(add_cookie_header)  
        2    0.000    0.000    0.000    0.000 cookiejar.py:1604(make_cookies)       
        2    0.000    0.000    0.000    0.000 cookiejar.py:1685(extract_cookies)    
        1    0.000    0.000    0.000    0.000 cookiejar.py:1739(clear_expired_cookies)
        6    0.000    0.000    0.000    0.000 cookiejar.py:1758(__iter__)
        3    0.000    0.000    0.000    0.000 cookiejar.py:44(_debug)
        4    0.000    0.000    0.000    0.000 cookiejar.py:885(__init__)
        2    0.000    0.000    0.000    0.000 cookies.py:110(__init__)
        4    0.000    0.000    0.000    0.000 cookies.py:117(info)
        2    0.000    0.000    0.001    0.000 cookies.py:124(extract_cookies_to_jar)        1    0.000    0.000    0.000    0.000 cookies.py:140(get_cookie_header)     
        3    0.000    0.000    0.000    0.000 cookies.py:35(__init__)
        2    0.000    0.000    0.000    0.000 cookies.py:358(update)
        3    0.000    0.000    0.000    0.000 cookies.py:521(cookiejar_from_dict)   
        3    0.000    0.000    0.000    0.000 cookies.py:534(<listcomp>)
        2    0.000    0.000    0.000    0.000 cookies.py:542(merge_cookies)
        1    0.000    0.000    0.000    0.000 cookies.py:87(get_new_headers)        
        3    0.000    0.000    0.000    0.000 coroutines.py:164(iscoroutinefunction)        4    0.000    0.000    0.000    0.000 cp1252.py:14(decode)
        1    0.000    0.000    0.000    0.000 cp1252.py:33(getregentry)
        1    0.000    0.000    0.000    0.000 csv.py:131(__init__)
        1    0.000    0.000    0.000    0.000 csv.py:141(writeheader)
       11    0.000    0.000    0.000    0.000 csv.py:145(_dict_to_list)
       44    0.000    0.000    0.000    0.000 csv.py:151(<genexpr>)
       11    0.000    0.000    0.001    0.000 csv.py:153(writerow)
        1    0.000    0.000    0.000    0.000 element.py:101(__new__)
      152    0.018    0.000    0.036    0.000 element.py:1199(__init__)
      151    0.001    0.000    0.001    0.000 element.py:1371(is_empty_element)     
       40    0.001    0.000    0.001    0.000 element.py:1417(_all_strings)
       75    0.000    0.000    0.000    0.000 element.py:1543(get)
      730    0.019    0.000    0.019    0.000 element.py:156(setup)
      857    0.002    0.000    0.002    0.000 element.py:1586(__bool__)
        1    0.000    0.000    0.000    0.000 element.py:1590(__setitem__)
        2    0.000    0.000    0.093    0.047 element.py:2008(find_all)
      922    0.007    0.000    0.007    0.000 element.py:2057(descendants)
        2    0.000    0.000    0.000    0.000 element.py:2150(__init__)
      101    0.001    0.000    0.001    0.000 element.py:2198(_normalize_search_value)
      302    0.018    0.000    0.032    0.000 element.py:2235(search_tag)
      880    0.018    0.000    0.051    0.000 element.py:2298(search)
   126/84    0.008    0.000    0.011    0.000 element.py:2331(_matches)
        2    0.000    0.000    0.000    0.000 element.py:2417(__init__)
       20    0.000    0.000    0.002    0.000 element.py:273(get_text)
       20    0.000    0.000    0.001    0.000 element.py:292(<listcomp>)
       22    0.000    0.000    0.000    0.000 element.py:387(_last_descendant)      
        2    0.031    0.015    0.093    0.047 element.py:792(_find_all)
      289    0.006    0.000    0.014    0.000 element.py:943(__new__)
        6    0.000    0.000    0.000    0.000 enum.py:359(__call__)
        6    0.000    0.000    0.000    0.000 enum.py:678(__new__)
        1    0.000    0.000    0.000    0.000 enum.py:801(value)
        2    0.000    0.000    0.000    0.000 enum.py:986(__and__)
        1    0.000    0.000    0.000    0.000 feedparser.py:101(push)
        2    0.000    0.000    0.000    0.000 feedparser.py:122(pushlines)
        2    0.000    0.000    0.000    0.000 feedparser.py:125(__iter__)
        9    0.000    0.000    0.000    0.000 feedparser.py:128(__next__)
        1    0.000    0.000    0.000    0.000 feedparser.py:139(__init__)
        1    0.000    0.000    0.001    0.001 feedparser.py:173(feed)
        2    0.000    0.000    0.001    0.001 feedparser.py:178(_call_parse)        
        1    0.000    0.000    0.000    0.000 feedparser.py:184(close)
        1    0.000    0.000    0.000    0.000 feedparser.py:197(_new_message)       
        1    0.000    0.000    0.000    0.000 feedparser.py:210(_pop_message)       
